title,artist,album,track,duration,id,idtype,playcount,rating,year,genre,notes,playlist
spotify:track:3m0jPrfDlp38tu7JYdWLch,Gente VIP,Larry Hernández,Larryvolución,1,7,174573,spotify:user:ares_one,2017-08-31T18:53:51Z,undefined,undefined,undefined,Fri Sep 15 2017
spotify:track:5jezNmDvHt6ecvWeMfwW0v,Hasta Que Salga El Sol,Banda Los Recoditos,Sueño XXX,1,1,143400,spotify:user:ares_one,2017-08-31T18:59:25Z,undefined,undefined,undefined,Fri Sep 15 2017
spotify:track:4uOnOptGFNZJ23LspY6zDb,El Katch,El Komander,El Katch,1,1,133512,spotify:user:ares_one,2017-08-31T19:04:40Z,undefined,undefined,undefined,Fri Sep 15 2017
spotify:track:3bvLXBbBO5UN3mLh3t0zVB,Mientras Tú Jugabas,Banda Los Recoditos,El Free,1,3,130906,spotify:user:ares_one,2017-08-31T19:07:17Z,undefined,undefined,undefined,Fri Sep 15 2017
spotify:track:2RCPNHvIeaCU6pTjsEqrZ1,Calla Y Me Besas,Enigma Norteño,Enemigo En Casa,1,1,160626,spotify:user:ares_one,2017-08-31T19:10:43Z,undefined,undefined,undefined,Fri Sep 15 2017
spotify:track:69seZxR4d4nr6EttlJnssw,Te Olvidaré,Remmy Valenzuela,Mi Vida En Vida,1,1,202293,spotify:user:ares_one,2017-08-31T19:14:23Z,undefined,undefined,undefined,Fri Sep 15 2017
spotify:track:0yx1gw1HAcxow3rHWYaI7V,En la Sierra y la Ciudad (La China),La Adictiva Banda San José de Mesillas,Disfruté Engañarte,1,5,204817,spotify:user:ares_one,2017-08-31T19:16:41Z,undefined,undefined,undefined,Fri Sep 15 2017
spotify:track:21c67BO4SUtoWjjHeFKMRS,Seguramente,Alfredo Olivas,La Rueda de la Fortuna,1,4,196650,spotify:user:ares_one,2017-08-31T19:20:12Z,undefined,undefined,undefined,Fri Sep 15 2017
spotify:track:0nltDob2fI2d8KgDSBrvq5,El Corrido De Heberardo,El Komander,El Katch,1,6,162325,spotify:user:ares_one,2017-08-31T19:22:26Z,undefined,undefined,undefined,Fri Sep 15 2017
spotify:track:1POCbsBAmILmc6wdWFuWvM,Disfruté Engañarte,La Adictiva Banda San José de Mesillas,Disfruté Engañarte,1,2,141426,spotify:user:ares_one,2017-08-31T19:32:06Z,undefined,undefined,undefined,Fri Sep 15 2017
